Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Concentration\Concentration.csproj,File,Concentration\Concentration.csproj,,,Xamarin.AndroidX.Core.SplashScreen 1.2.0.2,,,,,"Xamarin.AndroidX.Core.SplashScreen, 1.2.0.2  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Concentration\Concentration.csproj,File,Concentration\Concentration.csproj,,,,,,,,Current target framework: net10.0-android;net10.0-ios;net10.0-maccatalyst;net10.0-windows10.0.26100.0 Recommended target framework: net10.0-android;net10.0-ios;net10.0-maccatalyst;net10.0-windows10.0.26100.0;net11.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Styles.xaml.sg.cs,26,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__Type2C6AD8B02A2A2472));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Styles.xaml.sg.cs,16,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type2C6AD8B02A2A2472() => InitializeComponent();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Styles.xaml.sg.cs,16,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type2C6AD8B02A2A2472() => InitializeComponent();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Styles.xaml.sg.cs,14,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Colors.xaml.sg.cs,26,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__Type1BD372483CB490EC));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Colors.xaml.sg.cs,16,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type1BD372483CB490EC() => InitializeComponent();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Colors.xaml.sg.cs,16,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __Type1BD372483CB490EC() => InitializeComponent();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Concentration\Concentration.csproj,File,Concentration\obj\Release\net10.0-windows10.0.26100.0\win-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.XamlGenerator\Resources_Styles_Colors.xaml.sg.cs,14,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
